,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
56174,3.5939343,2.9426737,40095_804_B1_2,25,Cytosol,EIF5B,ENSG00000158417,HEK 293,O60841 A0A087WUT6
64486,-1.1474802,5.2306733,66647_1255_G9_1,22,C. Junctions,PKP4,ENSG00000144283,CACO-2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
64487,-1.5195587,5.4190083,66647_1255_G9_2,22,C. Junctions,PKP4,ENSG00000144283,CACO-2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
64488,-1.1192862,5.3417277,66647_1294_D12_1,22,C. Junctions,PKP4,ENSG00000144283,Hep G2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
64663,-0.97976404,5.2807255,66647_1294_D12_2,22,C. Junctions,PKP4,ENSG00000144283,Hep G2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
64708,-1.4440503,5.4751134,70648_1410_F8_2,22,C. Junctions,PKP4,ENSG00000144283,Hep G2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
64716,-1.408058,5.453917,70648_1410_F8_4,22,C. Junctions,PKP4,ENSG00000144283,Hep G2,Q99569 A0A0D9SF60 E7EMY7 E7EP40 E7EST6 E9PHJ1 H0YFB1
67358,3.7537253,6.8183856,52397_1524_B4_2,14,Microtubules,TTLL6,ENSG00000170703,CACO-2,Q8N841 F6QD81 F8W896 F8W9N0 F8WDP8
67367,3.8303754,6.880025,52397_1524_B4_1,14,Microtubules,TTLL6,ENSG00000170703,CACO-2,Q8N841 F6QD81 F8W896 F8W9N0 F8WDP8
67369,3.4204433,7.0784287,52397_1312_A9_6,14,Microtubules,TTLL6,ENSG00000170703,U-2 OS,Q8N841 F6QD81 F8W896 F8W9N0 F8WDP8
67370,3.8476663,6.835765,52397_1312_A9_1,14,Microtubules,TTLL6,ENSG00000170703,U-2 OS,Q8N841 F6QD81 F8W896 F8W9N0 F8WDP8
68492,-1.9006921,-3.1320312,23605_1132_D5_2,0,Nucleoplasm,UBE2O,ENSG00000175931,U-2 OS,Q9C0C9 K7EQ12 K7ES11
68493,-1.8734761,-3.390272,23605_1132_D5_3,0,Nucleoplasm,UBE2O,ENSG00000175931,U-2 OS,Q9C0C9 K7EQ12 K7ES11
68871,-4.822002,-1.7408769,2162_665_H1_1,0,Nucleoplasm,MCM3,ENSG00000112118,U-251 MG,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
68872,-5.0491185,-1.7390014,2162_665_H1_2,0,Nucleoplasm,MCM3,ENSG00000112118,U-251 MG,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
68873,-4.524717,-1.8259718,2162_668_H1_1,0,Nucleoplasm,MCM3,ENSG00000112118,U-2 OS,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
68874,-4.721963,-1.8107615,2162_668_H1_2,0,Nucleoplasm,MCM3,ENSG00000112118,U-2 OS,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
68875,-5.152723,-1.6882654,2162_674_H1_1,0,Nucleoplasm,MCM3,ENSG00000112118,A-431,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
68876,-5.391963,-1.6724045,2162_674_H1_2,0,Nucleoplasm,MCM3,ENSG00000112118,A-431,P25205 A0A499FHX9 J3KQ69 Q7Z6P5
69669,-3.8147943,-0.97249424,29620_369_D3_1,0,Nucleoplasm,PHF20,ENSG00000025293,A-431,Q9BVI0 B0QYY0 B0QZ19 F8WCQ1 Q5JWZ0 Q5JXL1
69670,-3.6948562,-1.0282108,29620_369_D3_2,0,Nucleoplasm,PHF20,ENSG00000025293,A-431,Q9BVI0 B0QYY0 B0QZ19 F8WCQ1 Q5JWZ0 Q5JXL1
69671,-3.058241,-0.8008686,29621_402_B2_1,0,Nucleoplasm,PHF20,ENSG00000025293,U-2 OS,Q9BVI0 B0QYY0 B0QZ19 F8WCQ1 Q5JWZ0 Q5JXL1
69672,-2.9761481,-0.85118496,29621_402_B2_2,0,Nucleoplasm,PHF20,ENSG00000025293,U-2 OS,Q9BVI0 B0QYY0 B0QZ19 F8WCQ1 Q5JWZ0 Q5JXL1
71370,-1.0894356,-1.3061243,17929_115_B1_1,0,Nucleoplasm,VRK1,ENSG00000100749,U-251 MG,Q99986 H0YJ50 H0YJF7 H0YJJ9
