,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
20655,0.74883187,-5.0251617,41079_477_H11_1,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,U-251 MG,Q1ED39 H3BMC9 H3BNU8 H3BPL4
20656,0.8004822,-4.831554,41079_477_H11_2,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,U-251 MG,Q1ED39 H3BMC9 H3BNU8 H3BPL4
20657,0.6623934,-4.948857,41079_479_H11_1,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,U-2 OS,Q1ED39 H3BMC9 H3BNU8 H3BPL4
20658,0.6801625,-4.9164824,41079_479_H11_2,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,U-2 OS,Q1ED39 H3BMC9 H3BNU8 H3BPL4
20678,1.0756844,-4.597718,41079_475_H11_1,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,A-431,Q1ED39 H3BMC9 H3BNU8 H3BPL4
22138,-1.1969992,-2.9125135,30945_389_D1_3,0 25,"Nucleoplasm,Cytosol",BRWD1,ENSG00000185658,A-431,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
22140,0.3052943,0.119408935,30945_389_D1_2,0 25,"Nucleoplasm,Cytosol",BRWD1,ENSG00000185658,A-431,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
22141,1.0856498,-4.504349,30944_626_B11_3,2 25,"Nucleoli,Cytosol",BRWD1,ENSG00000185658,A-431,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
22142,1.0855011,-4.410714,30944_626_B11_1,2 25,"Nucleoli,Cytosol",BRWD1,ENSG00000185658,A-431,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
22143,0.23460925,-4.767697,30944_1179_G1_9,2 25,"Nucleoli,Cytosol",BRWD1,ENSG00000185658,SiHa,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
22144,0.16528581,-4.4027944,30944_1179_G1_8,2 25,"Nucleoli,Cytosol",BRWD1,ENSG00000185658,SiHa,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
37774,-0.40559098,-5.2782493,62853_1241_E10_2,0 2,"Nucleoplasm,Nucleoli",SREK1IP1,ENSG00000153006,U-251 MG,Q8N9Q2
37775,-0.40583885,-5.3449683,62853_1241_E10_4,0 2,"Nucleoplasm,Nucleoli",SREK1IP1,ENSG00000153006,U-251 MG,Q8N9Q2
37777,-0.9410808,-4.420198,62853_1245_E10_1,0 2,"Nucleoplasm,Nucleoli",SREK1IP1,ENSG00000153006,U-2 OS,Q8N9Q2
37785,-0.9865553,-4.351798,62853_1245_E10_2,0 2,"Nucleoplasm,Nucleoli",SREK1IP1,ENSG00000153006,U-2 OS,Q8N9Q2
37950,-1.4198501,-4.14527,62351_1148_E7_1,0 2,"Nucleoplasm,Nucleoli",NUCKS1,ENSG00000069275,MCF7,Q9H1E3
37954,-0.8771199,-4.5896297,62351_1148_E7_2,0 2,"Nucleoplasm,Nucleoli",NUCKS1,ENSG00000069275,MCF7,Q9H1E3
38026,1.7293845,-2.6465008,61739_1307_B4_2,3 7,"N. fibrillar c.,Golgi app.",C12orf43,ENSG00000157895,HEK 293,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38076,-1.8246021,-5.3139763,22236_1401_A9_2,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,RH-30,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38090,-1.9536133,-5.421163,22236_1401_A9_3,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,RH-30,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38091,-2.1406693,-5.4017906,22236_1252_E8_4,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,U-251 MG,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38108,-2.006184,-4.819773,22236_1252_E8_2,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,U-251 MG,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38116,-1.8292301,-5.277141,22236_1158_A9_1,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,U-2 OS,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38120,-1.6462992,-3.6836693,22236_1158_A9_2,0 3,"Nucleoplasm,N. fibrillar c.",CHD1,ENSG00000153922,U-2 OS,O14646 A0A087WVF4 H0Y8V4 H0Y8Z0
38173,-2.182532,-5.897536,22416_189_G1_1,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,U-251 MG,Q3B726
38175,-2.2140481,-5.91087,22416_189_G1_2,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,U-251 MG,Q3B726
38178,-1.9834182,-6.252707,22416_190_G1_1,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,A-431,Q3B726
38182,-1.9944718,-6.228748,22416_190_G1_2,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,A-431,Q3B726
38183,-2.0616543,-5.9859157,22416_191_G1_1,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,U-2 OS,Q3B726
38184,-2.0156007,-5.8917127,22416_191_G1_2,0 3,"Nucleoplasm,N. fibrillar c.",TWISTNB,ENSG00000105849,U-2 OS,Q3B726
38186,1.8238778,-2.6159134,61739_1307_B4_1,3 7,"N. fibrillar c.,Golgi app.",C12orf43,ENSG00000157895,HEK 293,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38219,-1.3682739,-5.9906096,61739_1102_D7_2,2 7,"Nucleoli,Golgi app.",C12orf43,ENSG00000157895,U-2 OS,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38263,-0.5674726,-4.153225,30945_381_D1_2,0 2,"Nucleoplasm,Nucleoli",BRWD1,ENSG00000185658,U-2 OS,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
38265,-1.1806655,-3.4036956,30945_381_D1_1,0 2,"Nucleoplasm,Nucleoli",BRWD1,ENSG00000185658,U-2 OS,Q9NSI6 H0Y463 H0Y4A7 H0Y4R9 H0Y500 H0Y5I9 H7BZR9 H7C409
38350,-1.3645742,-5.9835997,61739_1102_D7_1,2 7,"Nucleoli,Golgi app.",C12orf43,ENSG00000157895,U-2 OS,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38351,1.3232187,-3.2036328,61739_1080_D7_2,2 7,"Nucleoli,Golgi app.",C12orf43,ENSG00000157895,MCF7,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38353,1.3119775,-3.20131,61739_1080_D7_1,2 7,"Nucleoli,Golgi app.",C12orf43,ENSG00000157895,MCF7,Q96C57 E7ENF1 F5H3K2 F5H7W8 F5H8B7 G5EA44 H0YGK4
38543,-1.815314,-3.809561,54837_958_F8_1,0 2,"Nucleoplasm,Nucleoli",TTF1,ENSG00000125482,MCF7,Q15361 A0A087WY09
38548,-1.4888222,-4.260338,54837_958_F8_2,0 2,"Nucleoplasm,Nucleoli",TTF1,ENSG00000125482,MCF7,Q15361 A0A087WY09
39769,-0.6304327,-4.3800545,76524_1674_H9_32,0 2,"Nucleoplasm,Nucleoli",CHD3,ENSG00000170004,U-2 OS,Q12873 A0A5F9ZHM2 A0A5F9ZHX5 H7C0J3 H7C2H0 H7C3H7 I3L1I4 I3L229 K7EPV1
39770,-0.6747923,-4.4044046,76524_1674_H9_33,0 2,"Nucleoplasm,Nucleoli",CHD3,ENSG00000170004,U-2 OS,Q12873 A0A5F9ZHM2 A0A5F9ZHX5 H7C0J3 H7C2H0 H7C3H7 I3L1I4 I3L229 K7EPV1
39771,-1.1846387,-4.7161527,76524_1712_C4_3_cr5804e5a4d2793,0 2,"Nucleoplasm,Nucleoli",CHD3,ENSG00000170004,SiHa,Q12873 A0A5F9ZHM2 A0A5F9ZHX5 H7C0J3 H7C2H0 H7C3H7 I3L1I4 I3L229 K7EPV1
40290,-0.62347484,-4.7643394,74391_1434_C3_2,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,PC-3,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
40291,-0.5062251,-5.415135,74391_1436_C3_2,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,U-2 OS,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
40292,-0.46468452,-5.2917023,74391_1503_C3_1,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,MCF7,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
40293,-0.43772995,-5.30598,74391_1503_C3_2,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,MCF7,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
40323,-1.2892649,-4.714661,74391_1434_C3_1,0 2,"Nucleoplasm,Nucleoli",INTS3,ENSG00000143624,PC-3,Q68E01 A0A096LNW8 A0A096LPB9 H0Y8Z1
