Gene	Ensembl	Uniprot
TAF1C	ENSG00000103168	Q15572
TAF4B	ENSG00000141384	Q92750
TAX1BP3	ENSG00000213977	O14907
TBC1D9B	ENSG00000197226	Q66K14
TBCK	ENSG00000145348	Q8TEA7
TBX20	ENSG00000164532	Q9UMR3
TCOF1	ENSG00000070814	Q13428
TERF1	ENSG00000147601	P54274
TFCP2L1	ENSG00000115112	Q9NZI6
THYN1	ENSG00000151500	Q9P016
TIAM2	ENSG00000146426	Q8IVF5
TIMM13	ENSG00000099800	Q9Y5L4
TMEM120B	ENSG00000188735	A0PK00
TMEM131L	ENSG00000121210	A2VDJ0
TMEM143	ENSG00000161558	Q96AN5
TMEM177	ENSG00000144120	Q53S58
TMEM212	ENSG00000186329	A6NML5
TMEM31	ENSG00000179363	Q5JXX7
TMEM37	ENSG00000171227	Q8WXS4
TMEM50B	ENSG00000142188	P56557
TMEM62	ENSG00000137842	Q0P6H9
TMEM79	ENSG00000163472	Q9BSE2
TMOD2	ENSG00000128872	Q9NZR1
TOP1	ENSG00000198900	P11387
TOX	ENSG00000198846	O94900
TPPP3	ENSG00000159713	Q9BW30
TRAF4	ENSG00000076604	Q9BUZ4
TRERF1	ENSG00000124496	Q96PN7
TRIM61	ENSG00000183439	Q5EBN2
TSPAN6	ENSG00000000003	O43657
TTF1	ENSG00000125482	Q15361
UBD	ENSG00000213886	O15205
UBE2N	ENSG00000177889	P61088
UBTF	ENSG00000108312	P17480
URB1	ENSG00000142207	O60287
USO1	ENSG00000138768	O60763
USP35	ENSG00000118369	Q9P2H5
USP44	ENSG00000136014	Q9H0E7
USP51	ENSG00000247746	Q70EK9
UTP4	ENSG00000141076	Q969X6
VENTX	ENSG00000151650	O95231
VGLL4	ENSG00000144560	Q14135
VILL	ENSG00000136059	O15195
WDR33	ENSG00000136709	Q9C0J8
WDR76	ENSG00000092470	Q9H967
YY1	ENSG00000100811	P25490
YY1AP1	ENSG00000163374	Q9H869
ZBED5	ENSG00000236287	Q49AG3
ZBTB37	ENSG00000185278	Q5TC79
ZC3H12B	ENSG00000102053	Q5HYM0
ZFHX2	ENSG00000136367	Q9C0A1
ZFHX4	ENSG00000091656	Q86UP3
ZKSCAN2	ENSG00000155592	Q63HK3
ZNF117	ENSG00000152926	Q03924
ZNF142	ENSG00000115568	P52746
ZNF154	ENSG00000179909	Q13106
ZNF174	ENSG00000103343	Q15697
ZNF280C	ENSG00000056277	Q8ND82
ZNF33A	ENSG00000189180	Q06730
ZNF33B	ENSG00000196693	Q06732
ZNF385B	ENSG00000144331	Q569K4
ZNF415	ENSG00000170954	Q09FC8
ZNF419	ENSG00000105136	Q96HQ0
ZNF575	ENSG00000176472	Q86XF7
ZNF586	ENSG00000083828	Q9NXT0
ZNF660	ENSG00000144792	Q6AZW8
ZNF689	ENSG00000156853	Q96CS4
ZNF75A	ENSG00000162086	Q96N20
ZNF773	ENSG00000152439	Q6PK81
ZNF880	ENSG00000221923	Q6PDB4
ZNRF2	ENSG00000180233	Q8NHG8
ZSCAN25	ENSG00000197037	Q6NSZ9
ZSWIM3	ENSG00000132801	Q96MP5
